study,report,authors,crop,p_dependency,farm_size,habitat_description,habitat,agr_intensity,distance_m,distance_measure,proportion,radius,richness_all,richness_wild,sites,location,pollinator,taxonomic_resolution,study_design,repeat_measures,sampling_method,sampling_time_min,total_sampling_time_min,source
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,4,estimated,84.72,300,7,7,37,"Yucatan, Nenela 1",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,17,estimated,63.19,300,6,6,37,"Yucatan, Nenela 3",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,47,estimated,16.08,300,9,9,37,"Yucatan, Rancho Alegre",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,71,estimated,75.69,300,12,12,37,"Yucatan, San Pedro Bacab",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,63,estimated,58.65,300,12,12,37,"Yucatan, Santa Maria",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,17,estimated,20.9,300,24,24,37,"Yucatan, STA MARIAçA SUR",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,56,estimated,54.06,300,9,9,37,"Yucatan, Tah Dziu",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,140,estimated,0,300,8,8,37,"Yucatan, Tah Dziu 2",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,21,estimated,26.39,300,17,17,37,"Yucatan, TEBEK",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,84,estimated,8.33,300,28,28,37,"Yucatan, TEKAL 2",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,108,estimated,0.92,300,13,13,37,"Yucatan, Tekal de Venegas",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,17,estimated,21.53,300,13,13,37,"Yucatan, TEKAX 1",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,23,estimated,2.08,300,24,24,37,"Yucatan, TEKAX 2",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,0,estimated,14.58,300,12,12,37,"Yucatan, Timul 1",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,30,estimated,31.35,300,11,11,37,"Yucatan, Tixcacaltuyub",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,19,estimated,0,300,9,9,37,"Yucatan, Tixcuytun ",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,15,estimated,21.49,300,4,4,37,"Yucatan, Tixcuytun 2",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,117,estimated,59.72,300,4,4,37,"Yucatan, Tixcuytun 3",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,134,estimated,4.83,300,11,11,37,"Yucatan, Tixmehuac 2",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,8,estimated,95.83,300,11,11,37,"Yucatan, TIZIMIN 1",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,33,estimated,63.19,300,20,20,37,"Yucatan, TIZIMIN 2",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,302,estimated,2.08,300,17,17,37,"Yucatan, TIZIMIN CEN",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,146,estimated,98.61,300,9,9,37,"Yucatan, TOH",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,4,estimated,19.38,300,25,25,37,"Yucatan, TZUCACAB 2",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,43,estimated,0,300,19,19,37,"Yucatan, TZUCACAB 3 ",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,3,estimated,18.75,300,13,13,37,"Yucatan, Xaya",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,4,estimated,69.44,300,7,7,37,"Yucatan, Yaxcopil",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Landaverde,Landaverde,Landaverde-Gonzales et al. 2017,chilli,Great (40-90%),Small (<2ha),"other (forest, natural vegetation comprising trees with a height >10m and fallow land, traditional domestic gardens surrounding dwellings and pastures which are an integral component of the milpa agricultural system)",other,high,17,estimated,83.33,300,24,24,37,"Yucatan, YOBAiN",Bees,morphospecies,single distance per site,1,mixed,15 (transects only),60 (transect only),corresponding author(s)
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,100.9897,reported,NA,NA,16,16,47,P004,Arthropods,other,single distance per site,3,passive,1440,4320,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,62.35201,reported,NA,NA,18,18,47,P007,Arthropods,other,single distance per site,4,passive,1440,5760,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,59.83694,reported,NA,NA,16,16,47,P008,Arthropods,other,single distance per site,3,passive,1440,4320,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,60.21169,reported,NA,NA,9,9,47,P013,Arthropods,other,single distance per site,2,passive,1440,2880,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,66.57613,reported,NA,NA,15,15,47,P014,Arthropods,other,single distance per site,2,passive,1440,2880,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,69.6507,reported,NA,NA,20,20,47,P015,Arthropods,other,single distance per site,5,passive,1440,7200,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,85.17345,reported,NA,NA,18,18,47,P017,Arthropods,other,single distance per site,3,passive,1440,4320,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,94.17192,reported,NA,NA,19,19,47,P018,Arthropods,other,single distance per site,3,passive,1440,4320,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,80.99051,reported,NA,NA,24,24,47,P023,Arthropods,other,single distance per site,4,passive,1440,5760,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,84.4808,reported,NA,NA,20,20,47,P024,Arthropods,other,single distance per site,5,passive,1440,7200,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,81.49715,reported,NA,NA,18,18,47,P026,Arthropods,other,single distance per site,4,passive,1440,5760,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,54.73273,reported,NA,NA,13,13,47,P028,Arthropods,other,single distance per site,1,passive,1440,1440,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,72.00898,reported,NA,NA,12,12,47,P033,Arthropods,other,single distance per site,2,passive,1440,2880,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,72.06261,reported,NA,NA,16,16,47,P036,Arthropods,other,single distance per site,4,passive,1440,5760,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,65.88786,reported,NA,NA,11,11,47,P037,Arthropods,other,single distance per site,1,passive,1440,1440,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,63.5677,reported,NA,NA,13,13,47,P041,Arthropods,other,single distance per site,2,passive,1440,2880,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,26.99216,reported,NA,NA,21,21,47,P046,Arthropods,other,single distance per site,3,passive,1440,4320,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,20.2625,reported,NA,NA,19,19,47,P047,Arthropods,other,single distance per site,5,passive,1440,7200,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,36.94935,reported,NA,NA,19,19,47,P049,Arthropods,other,single distance per site,4,passive,1440,5760,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,66.54315,reported,NA,NA,21,21,47,P052,Arthropods,other,single distance per site,5,passive,1440,7200,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,36.64854,reported,NA,NA,14,14,47,P057,Arthropods,other,single distance per site,3,passive,1440,4320,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,61.78805,reported,NA,NA,20,20,47,P062,Arthropods,other,single distance per site,4,passive,1440,5760,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,11.85771,reported,NA,NA,15,15,47,P069,Arthropods,other,single distance per site,3,passive,1440,4320,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,48.34277,reported,NA,NA,11,11,47,P071,Arthropods,other,single distance per site,2,passive,1440,2880,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,48.72756,reported,NA,NA,13,13,47,P074,Arthropods,other,single distance per site,2,passive,1440,2880,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,12.29347,reported,NA,NA,12,12,47,P087,Arthropods,other,single distance per site,3,passive,1440,4320,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,44.65634,reported,NA,NA,19,19,47,P089,Arthropods,other,single distance per site,4,passive,1440,5760,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,38.36587,reported,NA,NA,16,16,47,P091,Arthropods,other,single distance per site,4,passive,1440,5760,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,16.85106,reported,NA,NA,15,15,47,P094,Arthropods,other,single distance per site,2,passive,1440,2880,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,7.292668,reported,NA,NA,19,19,47,P096,Arthropods,other,single distance per site,4,passive,1440,5760,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,31.38958,reported,NA,NA,18,18,47,P100,Arthropods,other,single distance per site,3,passive,1440,4320,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,39.28642,reported,NA,NA,10,10,47,P101,Arthropods,other,single distance per site,2,passive,1440,2880,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,37.88952,reported,NA,NA,11,11,47,P103,Arthropods,other,single distance per site,1,passive,1440,1440,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,12.33807,reported,NA,NA,13,13,47,P107,Arthropods,other,single distance per site,3,passive,1440,4320,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,39.82735,reported,NA,NA,27,27,47,P110,Arthropods,other,single distance per site,7,passive,1440,10080,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,30.90378,reported,NA,NA,15,15,47,P112,Arthropods,other,single distance per site,2,passive,1440,2880,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,17.10733,reported,NA,NA,11,11,47,P114,Arthropods,other,single distance per site,1,passive,1440,1440,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,18.09282,reported,NA,NA,12,12,47,P122,Arthropods,other,single distance per site,3,passive,1440,4320,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,3.434199,reported,NA,NA,16,16,47,P124,Arthropods,other,single distance per site,4,passive,1440,5760,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,9.884319,reported,NA,NA,19,19,47,P127,Arthropods,other,single distance per site,4,passive,1440,5760,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,3.904773,reported,NA,NA,15,15,47,P128,Arthropods,other,single distance per site,2,passive,1440,2880,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,14.99628,reported,NA,NA,16,16,47,P130,Arthropods,other,single distance per site,3,passive,1440,4320,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,13.05595,reported,NA,NA,14,14,47,P132,Arthropods,other,single distance per site,2,passive,1440,2880,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,7.693682,reported,NA,NA,10,10,47,P133,Arthropods,other,single distance per site,2,passive,1440,2880,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,5.841479,reported,NA,NA,18,18,47,P134,Arthropods,other,single distance per site,5,passive,1440,7200,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,2.150085,reported,NA,NA,24,24,47,P135,Arthropods,other,single distance per site,7,passive,1440,10080,open access data
Li,Li,Li et al. 2022,oil palm,Little (0-10%),1.5ha,forest (7-ha lowland dipterocarp forest),natural forest,high,0.610095,reported,NA,NA,9,9,47,P138,Arthropods,other,single distance per site,1,passive,1440,1440,open access data
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),0.9 ha,forest,natural forest,high,787.5,reported,NA,NA,6,6,18,Gregmix,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),1.7 ha,forest,natural forest,high,747.2,reported,NA,NA,4,4,18,Aldmix,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),3.0 ha,forest,natural forest,high,1106.6,reported,NA,NA,1,0,18,Alcanfor,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),2.5 ha,forest,natural forest,high,398.74,reported,NA,NA,6,5,18,Fonseca,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),1.8 ha,forest,natural forest,high,1016.81,reported,NA,NA,5,4,18,Bombamix,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),0.8 ha,forest,natural forest,high,212.15,reported,NA,NA,9,8,18,Aserr,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),3.0 ha,forest,natural forest,high,386.34,reported,NA,NA,9,9,18,Vicuno,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),2.9 ha,forest,natural forest,high,652.6,reported,NA,NA,5,4,18,Corn,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),3.0 ha,forest,natural forest,high,515.44,reported,NA,NA,4,3,18,Galdos,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),1.8 ha,forest,natural forest,high,1016.81,reported,NA,NA,7,6,18,Fonsecab,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),2.8 ha,forest,natural forest,high,476.95,reported,NA,NA,8,7,18,Cuatas,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),2.6 ha,forest,natural forest,high,538.32,reported,NA,NA,8,7,18,Entrada,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),2.0 ha,forest,natural forest,high,474.15,reported,NA,NA,8,7,18,Fogata,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),2.4 ha,forest,natural forest,high,52.63,reported,NA,NA,8,7,18,Limon,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),2.0 ha,forest,natural forest,high,614.92,reported,NA,NA,10,10,18,Ojoagua,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),3.0 ha,forest,natural forest,high,1030.49,reported,NA,NA,4,3,18,Playa,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),2.9 ha,forest,natural forest,high,265.16,reported,NA,NA,5,4,18,SanLuis,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
LucasGarcia,LucasGarcia,"Lucas-Garcia and Rosas-Guerrero, unpub",mango,Great (40-90%),2.5 ha,forest,natural forest,high,87.01,reported,NA,NA,5,4,18,Sustrato,Insecta,other,single distance per site,1,active,45,45,corresponding author(s)
Obregon,Obregon,Obregon et al. 2021,lulo' or 'naranjilla',Essential (90-100%),Medium (2-15ha),forest (primary and secondary forest),natural forest,high,90,estimated,0.2,500,0.666666667,NA,10,1 Centro Sur,Bees,morphospecies,single distance per site,6,active,30,180,corresponding author(s)
Obregon,Obregon,Obregon et al. 2021,lulo' or 'naranjilla',Essential (90-100%),Medium (2-15ha),forest (primary and secondary forest),natural forest,high,55,estimated,0.44,500,2.666666667,NA,10,10 Barriales,Bees,morphospecies,single distance per site,6,active,30,180,corresponding author(s)
Obregon,Obregon,Obregon et al. 2021,lulo' or 'naranjilla',Essential (90-100%),Medium (2-15ha),forest (primary and secondary forest),natural forest,high,10,estimated,0.27,500,5,NA,10,2 Mundo viejo ,Bees,morphospecies,single distance per site,6,active,30,180,corresponding author(s)
Obregon,Obregon,Obregon et al. 2021,lulo' or 'naranjilla',Essential (90-100%),Medium (2-15ha),forest (primary and secondary forest),natural forest,high,0,estimated,0.15,500,4,NA,10,3 Chuyagua,Bees,morphospecies,single distance per site,6,active,30,180,corresponding author(s)
Obregon,Obregon,Obregon et al. 2021,lulo' or 'naranjilla',Essential (90-100%),Medium (2-15ha),forest (primary and secondary forest),natural forest,high,50,estimated,0.46,500,6,NA,10,4 Teguita baja,Bees,morphospecies,single distance per site,6,active,30,180,corresponding author(s)
